gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,status
ZNF385D,5.73026786349539,-22.1083855362118,2.01658763493354,1.11102269343271e-26,1.50388031783052e-22,Downregulated
GUCY1A2,9.33219857342475,-16.3824700703244,1.52042190288131,9.2042641704568e-25,6.22944599056516e-21,Downregulated
SCN4B,11.6436300202852,-16.5601600385211,1.72960775754056,4.51139012280561e-20,2.03553922340989e-16,Downregulated
TMEM255B,14.0418048889908,14.778224834501,1.54853863393077,1.33935819676826e-19,4.5323881378638e-16,Upregulated
HTRA3,10.7468324316685,-16.2975692815578,1.73462905483938,2.30030181187401e-19,6.22737706510532e-16,Downregulated
ECM2,5.40640797751359,16.1706345468887,1.81357395520828,1.20889583558367e-17,2.72726900507675e-14,Upregulated
HSPB7,4.98608279423234,-17.073068842591,2.06250871240093,1.17579245143899e-15,2.27364666038259e-12,Downregulated
TRPC6,11.4457024578145,-14.5525674332377,1.76976536673981,4.44733605898149e-15,7.52489261179668e-12,Downregulated
PRKY,20.2280806728552,15.7544947512598,1.93702169044911,5.41366578345276e-15,8.14215333831295e-12,Upregulated
MEG3,336.316540374467,13.3638848019422,1.74462712699991,3.35894578280361e-13,4.54666901160296e-10,Upregulated
NUAK2,680.438186477786,4.14383919489662,0.47834459139766,8.198482354804e-13,1.00886051958752e-09,Upregulated
CHRD,6.22849088820167,-14.3953946704698,2.00888589548061,5.84745823017141e-12,6.59593288363335e-09,Downregulated
BAALC,7.28186527194274,16.869742434332,2.41765794155959,9.35520106282686e-12,9.74092319895573e-09,Upregulated
SCN7A,4.98059726955443,22.6615069433903,3.45616986595458,2.73696410119313e-11,2.64625329098216e-08,Upregulated
TNFAIP3,2893.42145059257,4.89177019391545,0.730881065100288,3.05162304932465e-10,2.75378463971056e-07,Upregulated
SERPINE1,11544.9550408991,4.30366083470665,0.65480317247057,4.89149947041618e-09,3.89478451950314e-06,Upregulated
TRAF1,304.747885100021,4.27428014678557,0.647349987713579,4.8701019063888e-09,3.89478451950314e-06,Upregulated
CYP1A1,136.298900084723,5.40623638506108,0.967005062199485,5.39451158984158e-09,4.05667271556087e-06,Upregulated
TNF,196.316825869002,6.79196960363719,1.35136037639067,8.11002668008386e-09,5.77775374429553e-06,Upregulated
TBX4,12.3915999479525,-10.8025940492896,1.88901769535928,9.20802834316015e-09,6.23199358265079e-06,Downregulated
CSF2,71.2081951093706,6.31863230090481,1.29415449038453,1.82549883780861e-08,1.17666439374178e-05,Upregulated
MB21D2,147.829655717635,2.87239004310526,0.365991456987601,3.31834869741186e-08,2.0416894530985e-05,Upregulated
LMOD1,25.3913685557054,-14.7384463306371,2.69435950161756,3.99634054187731e-08,2.3519332858631e-05,Downregulated
TRIM22,841.892093974751,4.89329836104179,0.983360350797978,2.03363717550991e-07,0.000114697136698759,Upregulated
NFKBIA,5095.05298471445,3.67518668293701,0.620606718942662,5.11583401757132e-07,0.000276991717047382,Upregulated
IFNB1,261.964883732761,9.81466085643948,2.36254496399546,6.61557116758529e-07,0.000344416812786286,Upregulated
PTAFR,269.91288487672,2.87333973925549,0.419986861903986,7.7569076988223e-07,0.000388879639300958,Upregulated
ADRB2,197.926148925789,2.36633081962631,0.303875104319078,8.44890966889869e-07,0.000408444433136474,Upregulated
CD274,593.960746072097,4.37681485873291,0.881379019097768,9.310405600743e-07,0.000434571207626404,Upregulated
TNFRSF9,117.048350362135,4.0437583500031,0.770105531153962,1.12854995633839e-06,0.000509201740299884,Upregulated
NLRP1,279.08661833137,4.73426961362365,1.05475077444138,1.30801570293131e-06,0.000571138727576716,Upregulated
DUSP1,1841.59643844518,3.21185737326958,0.535592306156463,2.15348695384093e-06,0.000910924981474712,Upregulated
PDE4B,633.038708022767,3.39264761669945,0.609046866214978,3.66358840251462e-06,0.00150273735201327,Upregulated
IL6,1279.66175335067,4.83627252260081,1.29723324092519,6.18284355610492e-06,0.0024614991286893,Upregulated
BAHCC1,185.946125136265,3.84879026518903,0.805894580824742,6.74153899444324e-06,0.00260724205225096,Upregulated
G0S2,1334.88756461579,3.34507951229117,0.626027491061244,7.51085859032453e-06,0.00282408282996202,Upregulated
PPP1R15A,4125.94801988274,3.43216214749813,0.657953101163795,7.8346243477673e-06,0.00286620203165887,Upregulated
COL4A1,1331.63177996705,5.16522318124061,1.61750060005858,1.02440762533613e-05,0.00364904779382891,Upregulated
CH25H,77.2997697037143,5.9126533457206,2.14177569036565,1.15866764244261e-05,0.00402146800207773,Upregulated
IFNL2,255.196351359902,9.1236036176001,3.94688650976748,1.40681705221407e-05,0.00476066890469243,Upregulated
CSF3,1330.23365278185,4.73925697866685,1.44670042168114,1.58698645152664e-05,0.00523937770923527,Upregulated
IL1A,1390.76882349649,4.1658884602679,1.10164925971395,2.06510714108058e-05,0.00665554530039684,Upregulated
KMO,23.0092273784245,4.11447076477243,1.08519312957987,2.26014707412982e-05,0.00711473274312121,Upregulated
NEDD4,1166.52348675908,2.29653920602364,0.359735024772551,2.79803444110668e-05,0.00860777140791363,Upregulated
PLAT,571.72109124234,2.31546602172401,0.365946913053897,2.88743396562827e-05,0.00868540136860984,Upregulated
BDKRB2,372.321939577236,2.60818236168277,0.453032346153007,3.04441818607555e-05,0.00895853142754752,Upregulated
VCAM1,61.5785641341363,3.9217380870539,1.03260264015291,3.33334270157476e-05,0.00953199226800825,Upregulated
IL12A,20.5701196073265,3.36734560234824,0.733750329856922,3.38013910213059e-05,0.00953199226800825,Upregulated
PRDM1,160.497407817942,3.10287735101185,0.627839821622207,3.48742256639587e-05,0.00963382690994582,Upregulated
ATF3,951.851049236691,3.910082539447,1.07237526674886,4.17370257056432e-05,0.0111070909588182,Upregulated
C1QTNF1,626.618630067987,2.78140295304373,0.5232393723914,4.18485253324268e-05,0.0111070909588182,Upregulated
KLF6,2682.38394214776,2.472738003419,0.426815913660186,4.44288157297703e-05,0.0115020881714043,Upregulated
IRF1,1036.06971280602,3.09540079919228,0.643342062821355,4.50362494890977e-05,0.0115020881714043,Upregulated
ZNFX1,1743.11307780255,2.52414117679414,0.447499354910143,4.97654638200097e-05,0.0124745429308824,Upregulated
CTH,46.3346202860613,2.33322703812081,0.393847399055286,5.65965828110932e-05,0.0136802025880528,Upregulated
IFNL3,223.294080798452,6.31148287340313,4.0675236924333,5.59966263664932e-05,0.0136802025880528,Upregulated
ARRDC3,2299.83903194559,3.30207311987607,0.763652232409539,6.06602882144138e-05,0.0144052221275492,Upregulated
ANKRD1,129.78466482589,3.02609373564807,0.648418477208045,6.81738780226657e-05,0.0153870687928717,Upregulated
NLRC5,256.767606414865,3.33716640090523,0.79660464549707,6.82050921669845e-05,0.0153870687928717,Upregulated
ZBP1,54.6453728855389,4.34745362414059,1.74896269953895,6.62299321146519e-05,0.0153870687928717,Upregulated
PDZD2,85.3154009619813,3.48380240344536,0.900046288358728,7.5816937940656e-05,0.0168239028190938,Upregulated
USP18,292.869723987924,3.29732460186277,0.79379434669831,7.82617110712587e-05,0.0170862987267832,Upregulated
IRS2,294.955154167589,2.13224609445779,0.34757460374097,8.44143688896235e-05,0.0181370301157134,Upregulated
MIR31HG,95.9664938629326,-2.04772030668345,0.326544282424549,9.7108568508487e-05,0.020538462239545,Downregulated
DUOX2,46.0489486157476,3.46025658237515,0.958519608178248,0.000107497495985783,0.0213983250832877,Upregulated
SLFN5,1108.80388269598,2.64597420447585,0.530196544470304,0.000105774518054217,0.0213983250832877,Upregulated
LST1,198.422002832344,4.35353056898847,2.33683116244514,0.00010345447144388,0.0213983250832877,Upregulated
NCOA7,1285.22148119417,2.72635583954103,0.562235592913909,0.000107233938686994,0.0213983250832877,Upregulated
BCL2A1,1810.33429130162,3.43131368872776,0.977895236397864,0.000126433795049303,0.0248030123157589,Upregulated
IFIT2,4603.7933615823,3.75628647361766,1.41927728156976,0.000138371111192648,0.0264461195927785,Upregulated
CYP1B1,381.286433772349,2.53225036727453,0.505937584787592,0.00013939569769685,0.0264461195927785,Upregulated
TRANK1,369.184629238621,2.89103671270697,0.658518238873399,0.000140670848897758,0.0264461195927785,Upregulated
NR4A3,75.6875611570649,3.76064791939949,1.52783220383845,0.000152740878014719,0.0283219249973594,Upregulated
GBP1P1,33.2107300091677,3.832018512136,2.20909264024742,0.00018305931069478,0.0334850112103316,Upregulated
CXCL11,758.228999490736,3.73275203634377,1.95273361114341,0.000196639088528722,0.0354894226976638,Upregulated
GBP5,321.814643191742,3.68371640274062,1.93775726418277,0.00021004668964825,0.0374104209352462,Upregulated
HIVEP2,436.353858507755,2.39787051037878,0.485537477744839,0.000218714916699195,0.0384483780836402,Upregulated
ETV7,58.6545383253888,3.45906974710015,1.2999353062723,0.00022879919897663,0.0397054609916367,Upregulated
IFIT3,4410.71290724322,3.46520812664318,1.35012534005263,0.000237304715833311,0.0405175790606295,Upregulated
TNFAIP2,4490.26032402824,2.7951338382176,0.675658181429764,0.000239465597285044,0.0405175790606295,Upregulated
AMOTL2,983.830201628651,1.94362290038211,0.329020945350913,0.000259729837959371,0.0434037418100993,Upregulated
CLDN2,739.724410002145,-2.99761484006148,0.854936802860866,0.000302372287690453,0.049913552270463,Downregulated
