"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","3/46","42/9411",0.0714285714285714,14.6133540372671,6.19673610492097,0.00109799174086472,0.0133273480270476,0.0133273480270476,"1545/1543/8564",3
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","4/46","95/9411",0.0421052631578947,8.61418764302059,5.22745706777852,0.00114958998519749,0.0134885224929839,0.0134885224929839,"1437/3569/3552/7124",4
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","3/46","44/9411",0.0681818181818182,13.9491106719368,6.03372979459093,0.00125808911404992,0.0142524710790141,0.0142524710790141,"3592/3552/7124",3
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","5/46","168/9411",0.0297619047619048,6.08889751552795,4.66435617104972,0.00129567918900128,0.0142524710790141,0.0142524710790141,"81030/3552/3456/7124/7128",5
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","3/46","45/9411",0.0666666666666667,13.6391304347826,5.95615803813909,0.00134336026471167,0.0143291761569245,0.0143291761569245,"3569/3552/7124",3
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","5/46","180/9411",0.0277777777777778,5.68297101449275,4.44583339224448,0.0017586337561376,0.0181234949092535,0.0181234949092535,"3592/3569/4792/3456/7124",5
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","5/46","181/9411",0.0276243093922652,5.65157338457843,4.42851531092184,0.001802052050636,0.0181234949092535,0.0181234949092535,"3592/3569/3552/3456/7124",5
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","4/46","109/9411",0.036697247706422,7.50777822098125,4.78936197983505,0.00191140044401244,0.0186892487858994,0.0186892487858994,"8660/3569/4792/7124",4
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","4/46","137/9411",0.0291970802919708,5.97334179625516,4.10955580201794,0.00436882959227977,0.0415297619604039,0.0415297619604039,"4792/7185/597/7124",4
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","4/46","138/9411",0.0289855072463768,5.93005671077505,4.08884987135671,0.00448332657527088,0.0415297619604039,0.0415297619604039,"3569/4792/3456/7124",4
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","3/46","70/9411",0.0428571428571429,8.76801242236025,4.5717458788872,0.00475924392530459,0.042955227223262,0.042955227223262,"8660/4792/7124",3
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","4/46","142/9411",0.028169014084507,5.7630128597673,4.00801484934905,0.00496162094784187,0.0436622643410085,0.0436622643410085,"4792/3552/3456/7124",4
