"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903035","negative regulation of response to wounding","4/65","92/18842",0.0434782608695652,12.6033444816054,6.56405200890762,0.000286985915763492,0.013946092435449,0.013946092435449,"PLAT/C1QTNF1/TNF/SERPINE1",4
"GO:1902041","regulation of extrinsic apoptotic signaling pathway via death domain receptors","3/65","38/18842",0.0789473684210526,22.885020242915,7.9452795036834,0.000303230410784226,0.0146147116017315,0.0146147116017315,"ATF3/SERPINE1/TNFAIP3",3
"GO:0010742","macrophage derived foam cell differentiation","3/65","39/18842",0.0769230769230769,22.298224852071,7.83353319601592,0.000327692317620198,0.0156652912813558,0.0156652912813558,"CSF2/NFKBIA/TNF",3
"GO:0002367","cytokine production involved in immune response","4/65","96/18842",0.0416666666666667,12.0782051282051,6.40245098864888,0.000337695902815824,0.0158852152684564,0.0158852152684564,"NR4A3/IL6/IFNB1/TNF",4
"GO:0002718","regulation of cytokine production involved in immune response","4/65","96/18842",0.0416666666666667,12.0782051282051,6.40245098864888,0.000337695902815824,0.0158852152684564,0.0158852152684564,"NR4A3/IL6/IFNB1/TNF",4
"GO:0002695","negative regulation of leukocyte activation","5/65","176/18842",0.0284090909090909,8.23513986013986,5.67378903782512,0.000352715810368865,0.016460071150547,0.016460071150547,"CD274/IRF1/LST1/IFNB1/TNFAIP3",5
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","5/65","178/18842",0.0280898876404494,8.14261019878997,5.6332644292477,0.000371491661760917,0.017199771426411,0.0171997714264109,"CD274/IL12A/IL6/IFNB1/TNFAIP3",5
"GO:0060338","regulation of type I interferon-mediated signaling pathway","3/65","41/18842",0.0731707317073171,21.2105065666041,7.62209228386331,0.00038035400637029,0.0173370663368784,0.0173370663368784,"ZBP1/NLRC5/USP18",3
"GO:0090077","foam cell differentiation","3/65","41/18842",0.0731707317073171,21.2105065666041,7.62209228386331,0.00038035400637029,0.0173370663368784,0.0173370663368784,"CSF2/NFKBIA/TNF",3
"GO:0002709","regulation of T cell mediated immunity","4/65","100/18842",0.04,11.5950769230769,6.25016809105344,0.00039452610973004,0.0177085001924629,0.0177085001924629,"CD274/IL12A/IL6/IFNB1",4
"GO:0046634","regulation of alpha-beta T cell activation","4/65","100/18842",0.04,11.5950769230769,6.25016809105344,0.00039452610973004,0.0177085001924629,0.0177085001924629,"CD274/IL12A/PRDM1/IRF1",4
"GO:0042060","wound healing","7/65","394/18842",0.0177664974619289,5.15009761811792,4.89809639877558,0.00040643496558877,0.0180646758187675,0.0180646758187675,"DUOX2/IL6/PLAT/C1QTNF1/TNF/SERPINE1/TNFAIP3",7
"GO:2001238","positive regulation of extrinsic apoptotic signaling pathway","3/65","42/18842",0.0714285714285714,20.7054945054945,7.52191823810488,0.000408605762567359,0.0180646758187675,0.0180646758187675,"ATF3/G0S2/TNF",3
"GO:0046631","alpha-beta T cell activation","5/65","183/18842",0.0273224043715847,7.92013451029845,5.53466639455413,0.000421741955286473,0.0185062887842124,0.0185062887842124,"CD274/IL12A/IL6/PRDM1/IRF1",5
"GO:0019058","viral life cycle","6/65","284/18842",0.0211267605633803,6.12416034669556,5.11931491648896,0.000435905899742544,0.0189497626418673,0.0189497626418673,"CH25H/NEDD4/IFNB1/ZNFX1/TNF/IFNL3",6
"GO:0030522","intracellular receptor signaling pathway","7/65","399/18842",0.0175438596491228,5.08556005398111,4.85308405470364,0.000438293829811897,0.0189497626418673,0.0189497626418673,"NEDD4/NR4A3/GBP5/NLRP1/IRF1/TNF/TNFAIP3",7
"GO:0051223","regulation of protein transport","7/65","401/18842",0.0174563591022444,5.06019566468444,4.83528932284913,0.00045158419128602,0.0193818616405971,0.0193818616405971,"IRS2/IL12A/IL6/ANKRD1/NFKBIA/IL1A/TNF",7
"GO:0001960","negative regulation of cytokine-mediated signaling pathway","4/65","105/18842",0.0380952380952381,11.0429304029304,6.07156465597252,0.000474796871902223,0.0202218742885094,0.0202218742885094,"IL6/NLRC5/IL1A/USP18",4
"GO:0051251","positive regulation of lymphocyte activation","6/65","289/18842",0.0207612456747405,6.01820601543785,5.05808223350822,0.000478034103078708,0.0202218742885094,0.0202218742885094,"IRS2/CD274/IL12A/IL6/IL1A/VCAM1",6
"GO:0042311","vasodilation","3/65","45/18842",0.0666666666666667,19.3251282051282,7.24110021175923,0.00050135025617357,0.0208618038249354,0.0208618038249354,"ADRB2/BDKRB2/TNF",3
"GO:0050864","regulation of B cell activation","4/65","107/18842",0.0373831775700935,10.8365204888569,6.00346649211444,0.000509944243220631,0.0208618038249354,0.0208618038249354,"IRS2/IL12A/IL6/TNFAIP3",4
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","5/65","191/18842",0.0261780104712042,7.58840112766814,5.38444822636566,0.000512618072739118,0.0208618038249354,0.0208618038249354,"GBP5/NLRP1/IRF1/TNF/TNFAIP3",5
"GO:0034342","response to type III interferon","2/65","10/18842",0.2,57.9753846153846,10.6031423706371,0.000517997169802817,0.0208618038249354,0.0208618038249354,"IFNL2/IFNL3",2
"GO:0035634","response to stilbenoid","2/65","10/18842",0.2,57.9753846153846,10.6031423706371,0.000517997169802817,0.0208618038249354,0.0208618038249354,"TNF/USP18",2
"GO:0061298","retina vasculature development in camera-type eye","2/65","10/18842",0.2,57.9753846153846,10.6031423706371,0.000517997169802817,0.0208618038249354,0.0208618038249354,"CYP1B1/COL4A1",2
"GO:2000345","regulation of hepatocyte proliferation","2/65","10/18842",0.2,57.9753846153846,10.6031423706371,0.000517997169802817,0.0208618038249354,0.0208618038249354,"TNF/TNFAIP3",2
"GO:1904646","cellular response to amyloid-beta","3/65","46/18842",0.0652173913043478,18.905016722408,7.15346536212991,0.000535011322898824,0.021400452915953,0.021400452915953,"ADRB2/TNF/VCAM1",3
"GO:0034341","response to type II interferon","4/65","109/18842",0.036697247706422,10.6376852505293,5.93714794853154,0.000546906686875317,0.021569462551113,0.021569462551113,"GBP5/NLRC5/IRF1/TNF",4
"GO:2001235","positive regulation of apoptotic signaling pathway","4/65","109/18842",0.036697247706422,10.6376852505293,5.93714794853154,0.000546906686875317,0.021569462551113,0.021569462551113,"ATF3/IFNB1/G0S2/TNF",4
"GO:0001659","temperature homeostasis","5/65","194/18842",0.0257731958762887,7.4710547184774,5.33034546331122,0.000550241391610026,0.021569462551113,0.021569462551113,"ADRB2/ARRDC3/IL1A/G0S2/TNF",5
"GO:0019079","viral genome replication","4/65","110/18842",0.0363636363636364,10.540979020979,5.90463095390165,0.000566084988907953,0.0217669336541283,0.0217669336541283,"IFNB1/ZNFX1/TNF/IFNL3",4
"GO:0060761","negative regulation of response to cytokine stimulus","4/65","110/18842",0.0363636363636364,10.540979020979,5.90463095390165,0.000566084988907953,0.0217669336541283,0.0217669336541283,"IL6/NLRC5/IL1A/USP18",4
"GO:0006953","acute-phase response","3/65","47/18842",0.0638297872340425,18.5027823240589,7.06855115887434,0.000570086357608122,0.0217669336541283,0.0217669336541283,"IL6/IL1A/TNF",3
"GO:0046427","positive regulation of receptor signaling pathway via JAK-STAT","3/65","47/18842",0.0638297872340425,18.5027823240589,7.06855115887434,0.000570086357608122,0.0217669336541283,0.0217669336541283,"IL12A/IL6/CYP1B1",3
"GO:0010883","regulation of lipid storage","3/65","48/18842",0.0625,18.1173076923077,6.98621609269895,0.000606599436600568,0.0227185011924289,0.0227185011924289,"IL6/NFKBIA/TNF",3
"GO:0030195","negative regulation of blood coagulation","3/65","48/18842",0.0625,18.1173076923077,6.98621609269895,0.000606599436600568,0.0227185011924289,0.0227185011924289,"PLAT/C1QTNF1/SERPINE1",3
"GO:1900047","negative regulation of hemostasis","3/65","48/18842",0.0625,18.1173076923077,6.98621609269895,0.000606599436600568,0.0227185011924289,0.0227185011924289,"PLAT/C1QTNF1/SERPINE1",3
"GO:2001234","negative regulation of apoptotic signaling pathway","5/65","199/18842",0.0251256281407035,7.28333977580209,5.2426966979018,0.00061751766051582,0.022981036986285,0.022981036986285,"CSF2/IL1A/TNF/SERPINE1/TNFAIP3",5
"GO:0071800","podosome assembly","2/65","11/18842",0.181818181818182,52.7048951048951,10.0922235587464,0.000631698976811516,0.0232149373978232,0.0232149373978232,"CSF2/TNF",2
"GO:0097267","omega-hydroxylase P450 pathway","2/65","11/18842",0.181818181818182,52.7048951048951,10.0922235587464,0.000631698976811516,0.0232149373978232,0.0232149373978232,"CYP1B1/CYP1A1",2
"GO:0071357","cellular response to type I interferon","4/65","116/18842",0.0344827586206897,9.99575596816976,5.71794140634788,0.000691329813058991,0.0252485670856327,0.0252485670856327,"ZBP1/NLRC5/IFNB1/USP18",4
"GO:0071214","cellular response to abiotic stimulus","6/65","311/18842",0.0192926045016077,5.59248083106604,4.80478178784658,0.00070255336313262,0.0253436427927595,0.0253436427927595,"NEDD4/SCN7A/NLRP1/ANKRD1/IRF1/TNF",6
"GO:0104004","cellular response to environmental stimulus","6/65","311/18842",0.0192926045016077,5.59248083106604,4.80478178784658,0.00070255336313262,0.0253436427927595,0.0253436427927595,"NEDD4/SCN7A/NLRP1/ANKRD1/IRF1/TNF",6
"GO:0002688","regulation of leukocyte chemotaxis","4/65","118/18842",0.0338983050847458,9.82633637548892,5.65871357502887,0.000737113332639602,0.0264282097312247,0.0264282097312247,"IL12A/IL6/SERPINE1/DUSP1",4
"GO:0031649","heat generation","2/65","12/18842",0.166666666666667,48.3128205128205,9.64583551555377,0.000756352530278309,0.0264723385597408,0.0264723385597408,"IL1A/TNF",2
"GO:0035745","T-helper 2 cell cytokine production","2/65","12/18842",0.166666666666667,48.3128205128205,9.64583551555377,0.000756352530278309,0.0264723385597408,0.0264723385597408,"IL6/IFNB1",2
"GO:0051918","negative regulation of fibrinolysis","2/65","12/18842",0.166666666666667,48.3128205128205,9.64583551555377,0.000756352530278309,0.0264723385597408,0.0264723385597408,"PLAT/SERPINE1",2
"GO:2000551","regulation of T-helper 2 cell cytokine production","2/65","12/18842",0.166666666666667,48.3128205128205,9.64583551555377,0.000756352530278309,0.0264723385597408,0.0264723385597408,"IL6/IFNB1",2
"GO:0050819","negative regulation of coagulation","3/65","52/18842",0.0576923076923077,16.7236686390533,6.68017307494981,0.000767503736776665,0.0267036803091526,0.0267036803091526,"PLAT/C1QTNF1/SERPINE1",3
"GO:0002685","regulation of leukocyte migration","5/65","210/18842",0.0238095238095238,6.9018315018315,5.06013688925755,0.000787109150732557,0.0272247165076908,0.0272247165076908,"IL12A/IL6/TNF/SERPINE1/DUSP1",5
"GO:0033002","muscle cell proliferation","5/65","211/18842",0.023696682464455,6.86912139992709,5.0441940727446,0.000804089728211218,0.0276494011805963,0.0276494011805963,"NR4A3/IL12A/IL6/TNF/TNFAIP3",5
"GO:0140894","endolysosomal toll-like receptor signaling pathway","3/65","53/18842",0.0566037735849057,16.4081277213353,6.60893562065593,0.00081155822442683,0.0276621890799837,0.0276621890799837,"IRF1/TNF/TNFAIP3",3
"GO:0070201","regulation of establishment of protein localization","7/65","443/18842",0.0158013544018059,4.58044799444348,4.48680994084483,0.000813870529053943,0.0276621890799837,0.0276621890799837,"IRS2/IL12A/IL6/ANKRD1/NFKBIA/IL1A/TNF",7
"GO:0042742","defense response to bacterium","6/65","322/18842",0.0186335403726708,5.40143334925944,4.68702342846323,0.000841775568491202,0.0284462088662544,0.0284462088662544,"IL12A/IL6/GBP5/NLRP1/ZNFX1/SERPINE1",6
"GO:0009306","protein secretion","6/65","323/18842",0.0185758513931889,5.38471064539176,4.67658663416801,0.00085541710584668,0.0285995140513753,0.0285995140513753,"IRS2/IL12A/IL6/ANKRD1/IL1A/TNF",6
"GO:1904894","positive regulation of receptor signaling pathway via STAT","3/65","54/18842",0.0555555555555556,16.1042735042735,6.53961219824969,0.000857189267081019,0.0285995140513753,0.0285995140513753,"IL12A/IL6/CYP1B1",3
"GO:0033209","tumor necrosis factor-mediated signaling pathway","4/65","123/18842",0.032520325203252,9.42689180737961,5.51663437949044,0.000860903739301605,0.0285995140513753,0.0285995140513753,"NFKBIA/TRAF1/TNF/TNFAIP3",4
"GO:0002456","T cell mediated immunity","4/65","124/18842",0.032258064516129,9.35086848635236,5.48919065528529,0.000887314904197555,0.0288335143862751,0.0288335143862751,"CD274/IL12A/IL6/IFNB1",4
"GO:0001780","neutrophil homeostasis","2/65","13/18842",0.153846153846154,44.596449704142,9.25134170327427,0.000891883254243625,0.0288335143862751,0.0288335143862751,"IL6/PDE4B",2
"GO:0032621","interleukin-18 production","2/65","13/18842",0.153846153846154,44.596449704142,9.25134170327427,0.000891883254243625,0.0288335143862751,0.0288335143862751,"GBP5/TNF",2
"GO:0032661","regulation of interleukin-18 production","2/65","13/18842",0.153846153846154,44.596449704142,9.25134170327427,0.000891883254243625,0.0288335143862751,0.0288335143862751,"GBP5/TNF",2
"GO:0035592","establishment of protein localization to extracellular region","6/65","326/18842",0.0184049079754601,5.3351580934403,4.64553465064207,0.000897369580389173,0.0288335143862751,0.0288335143862751,"IRS2/IL12A/IL6/ANKRD1/IL1A/TNF",6
"GO:0071692","protein localization to extracellular region","6/65","326/18842",0.0184049079754601,5.3351580934403,4.64553465064207,0.000897369580389173,0.0288335143862751,0.0288335143862751,"IRS2/IL12A/IL6/ANKRD1/IL1A/TNF",6
"GO:0002548","monocyte chemotaxis","3/65","55/18842",0.0545454545454545,15.8114685314685,6.47211606976702,0.000904418976773055,0.0289020846925302,0.0289020846925302,"IL6/SERPINE1/DUSP1",3
"GO:1904645","response to amyloid-beta","3/65","57/18842",0.0526315789473684,15.2566801619433,6.3422854519282,0.00100376148270273,0.0319033379367138,0.0319033379367138,"ADRB2/TNF/VCAM1",3
"GO:2000660","negative regulation of interleukin-1-mediated signaling pathway","2/65","14/18842",0.142857142857143,41.410989010989,8.89932264501781,0.00103821694322131,0.0328210517534479,0.0328210517534479,"IL6/IL1A",2
